Nombre,Precio,Cuotas,N
"NOTEBOOK ASUS E410KA CELERON N4500 4GB 64GB EMMC 14"" W11 QUIET BLUE",$ 269990,12 cuotas de $30359.33,1
NOTEBOOK GEOBOOK CELERON N4500 4GB 128GB 14.1 W11 + HEADSET + CONTROL XBOX,$ 279990,12 cuotas de $31483.78,2
NOTEBOOK HP 14-DQ0760DX CELERON N4120 4GB SSD 128GB 14 W11 SILVER,$ 339990,12 cuotas de $38230.54,3
NOTEBOOK NOBLEX CELERON N4020C 4GB 128GB 14.1 HD W11,$ 339990,12 cuotas de $38230.54,4
NOTEBOOK HP 14-DQ0762DX CELERON N4120 4GB SSD 128GB 14 W11 ROSE GOLD,$ 374990,12 cuotas de $42166.15,5
NOTEBOOK ASUS E410MA INTEL CELERON N4020 4GB 128GB EMMC 14 HD W11,$ 389990,12 cuotas de $43852.84,6
NOTEBOOK HP 255 G10 RYZEN 3 7330U 8GB SSD 256GB 15.6 FREE,$ 614990,12 cuotas de $69153.17,7
NOTEBOOK ASUS X515EA I3 1115G4 8GB SSD 256GB 15.6 FREE FHD,$ 629990,12 cuotas de $70839.85,8
NOTEBOOK LENOVO IDEAPAD SLIM 3 15AMN8 RYZEN 5 7520U 8GB SSD 512GB 15.6 FREE ARCTIC GREY,$ 679990,12 cuotas de $76462.15,9
NOTEBOOK HP 250 INTEL CORE I3 1315U 8GB SSD 256GB 15.6 FREE,$ 661990,12 cuotas de $74438.12,10
NOTEBOOK ASUS VIVOBOOK E1504FA RYZEN 5 7520U 8GB SSD 256GB 15.6 W11,$ 689990,12 cuotas de $77586.61,11
NOTEBOOK HP 15-DY5885WM CORE I5 1235U 8GB SSD 256GB 15.6 W11 SPRUCE BLUE,$ 689990,12 cuotas de $77586.61,12
